range , n golden(f), n quadratic(f), n golden(g), n quadratic(g), n golden(h), n quadratic(h)
196 , -0.06686302184093718 , -1.7763568394002505e-15 , -0.04874121289262856 , 0.0 , -0.06503734187095889 , -0.5623200691348551
198 , -0.03543134834406647 , -96.7 , -0.05512558998652306 , 0.0 , -0.050394865767601216 , -0.5623236905937317
200 , -0.0590215639839089 , -97.7 , -0.041672081206534095 , 0.0 , -0.03575238966424332 , -0.5623272038039921
202 , -0.04611010324217979 , -98.7 , -0.02547096367270818 , 0.0 , -0.02110991356088565 , -0.5623306130374481
204 , -0.06933891614556709 , -99.7 , -0.06532711182788464 , 0.0 , -0.0629900101989842 , -0.562333922357237
206 , -0.035303566768943195 , -1.3322676295501878e-15 , -0.06506367918392897 , 0.0 , -0.048901676965640295 , -0.562337135629938
208 , -0.05797641693175004 , -101.7 , -0.04793936858759196 , 0.0 , -0.0321892151435097 , -0.5623402565368738
210 , -0.043985177535411424 , -102.7 , -0.049815625961215915 , 0.0 , -0.05770275390979429 , -0.5623432885846616
212 , -0.06630884589288577 , -103.7 , -0.032470828492303205 , 0.0 , -0.04396658966130773 , -0.5623462351150673
214 , -0.02975519730559162 , -104.7 , -0.06763045861142025 , 0.0 , -0.03023042541284604 , -0.5623490993142202
216 , -0.05244332284918807 , -105.7 , -0.04577866232789152 , 0.0 , -0.03895088924099621 , -0.5623518842212328
218 , -0.03599783196492101 , -106.7 , -0.04407667285279793 , 0.0 , -0.025422656733961047 , -0.562354592736264
220 , -0.0346434131815041 , 0.0 , -0.020902329652353835 , 0.0 , -0.05169326144000408 , -0.5623572276280767
222 , -0.01588113510259781 , -108.7 , -0.057455987194639846 , 0.0 , -0.03852683654400124 , -0.5623597915411153
224 , -0.036744929112524805 , -109.7 , -0.01557954194302269 , 0.0 , -0.02536041164799485 , -0.5623622870021483
226 , -0.019062965017550226 , -1.3322676295501878e-15 , -0.03038929767119747 , 0.0 , -0.03171211863682921 , -0.5623647164264928
228 , -0.03958564612389548 , -111.7 , -0.025553015346641672 , 0.0 , -0.0187184205716604 , -0.5623670821238641
230 , -0.03586060901920485 , -112.7 , -0.03679285571304547 , 0.0 , -0.04552316153606073 , -0.5623693863038686
232 , -0.014815072131685536 , -113.7 , -0.029500649962930225 , 0.0 , -0.03287553685377698 , -0.5623716310811658
234 , -0.034770374477651966 , -114.7 , -0.026543468311421847 , 0.0 , -0.020227912171474793 , -0.5623738184803212
236 , -0.013782653931716293 , -8.881784197001252e-16 , -0.03669591750477785 , 0.0 , -0.0502735855904608 , -0.5623759504403769
238 , -0.03339098150741382 , -116.7 , -0.029079823418607376 , 0.0 , -0.03798776851920005 , -0.5623780288191464
240 , -0.030263879990673814 , 0.0 , -0.038002327668624325 , 0.0 , -0.025701951447929527 , -0.5623800553972677
242 , -0.04968274565725617 , -118.7 , -0.027993075334461714 , 0.0 , -0.03857587509216365 , -0.562382031882017
244 , -0.025605068832671662 , -119.7 , -0.019551291712209817 , 0.0 , -0.026497989762334084 , -0.5623839599109062
246 , -0.04466740546244541 , -8.881784197001252e-16 , -0.02649212080410024 , 0.0 , -0.014420104432517844 , -0.5623858410550775
248 , -0.03758437636902734 , -121.7 , -0.0160825383408989 , 0.0 , -0.04405485054465341 , -0.5623876768225038

